,Modèle,AUC_mean,AUC_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Kappa_mean,Kappa_std
1,XGBoost,0.9795,0.0,0.8776,0.0,0.881,0.0,0.7586,0.0
2,RandomForest,0.9773,0.0,0.8776,0.0,0.881,0.0,0.7586,0.0
3,TabPFN,0.9682,0.0,0.8558,0.0,0.8571,0.0,0.7123,0.0
4,SVM_RBF,0.9364,0.0,0.8792,0.0,0.881,0.0,0.7597,0.0
5,LogisticReg,0.8864,0.0,0.8286,0.0,0.8333,0.0,0.6621,0.0
6,KNN,0.8409,0.0,0.7117,0.0,0.7143,0.0,0.4247,0.0
