,Modèle,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,R2_adj_mean,R2_adj_std
1,GPR,2.381,0.0,1.6969,0.0,0.5454,0.0,0.5263,0.0
2,Ridge,2.394,0.0,1.6927,0.0,0.5404,0.0,0.5211,0.0
3,XGBoost,2.4948,0.0,1.6516,0.0,0.5009,0.0,0.48,0.0
4,RandomForest,2.5171,0.0,1.7049,0.0,0.4919,0.0,0.4706,0.0
5,KNN,2.5316,0.0,1.6828,0.0,0.486,0.0,0.4645,0.0
6,SVR_RBF,2.538,0.0,1.683,0.0,0.4834,0.0,0.4618,0.0
