,Modèle,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,R2_adj_mean,R2_adj_std
1,GPR,2.3487,0.0,1.7498,0.0,0.8919,0.0,0.8813,0.0
2,SVR_RBF,2.3903,0.0,1.7945,0.0,0.8881,0.0,0.877,0.0
3,RandomForest,2.4155,0.0,1.6897,0.0,0.8857,0.0,0.8744,0.0
4,XGBoost,2.5354,0.0,1.7943,0.0,0.8741,0.0,0.8616,0.0
5,KNN,2.6445,0.0,1.864,0.0,0.863,0.0,0.8495,0.0
6,Ridge,3.2736,0.0,2.4203,0.0,0.79,0.0,0.7693,0.0
