,Modèle,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,R2_adj_mean,R2_adj_std
1,GPR,50.1581,0.0,39.2353,0.0,0.5251,0.0,0.4643,0.0
2,SVR_RBF,51.7682,0.0,41.2919,0.0,0.4942,0.0,0.4293,0.0
3,XGBoost,53.3341,0.0,43.229,0.0,0.4631,0.0,0.3943,0.0
4,RandomForest,53.4978,0.0,43.2986,0.0,0.4598,0.0,0.3906,0.0
5,Ridge,53.8429,0.0,42.7962,0.0,0.4528,0.0,0.3827,0.0
6,KNN,54.6463,0.0,44.5765,0.0,0.4364,0.0,0.3641,0.0
