,Modèle,AUC_mean,AUC_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Kappa_mean,Kappa_std
1,KNN,0.9965,0.0,0.8648,0.0,0.8873,0.0,0.7336,0.0
2,LogisticReg,0.9809,0.0,0.9357,0.0,0.9437,0.0,0.8718,0.0
3,XGBoost,0.9765,0.0,0.9691,0.0,0.9718,0.0,0.9383,0.0
4,TabPFN,0.9765,0.0,0.9691,0.0,0.9718,0.0,0.9383,0.0
5,SVM_RBF,0.9713,0.0,0.9533,0.0,0.9577,0.0,0.9065,0.0
6,RandomForest,0.9661,0.0,0.9541,0.0,0.9577,0.0,0.9082,0.0
